Q, E
0.0, -1076.1122
7.032, -1077.0762
14.064, -1077.5551999999998
17.58, -1077.6571999999999
21.096, -1077.6871999999998
24.612, -1077.6552
28.128, -1077.5711999999999
35.16, -1077.2731999999999
42.192, -1076.8182
49.225, -1076.3422
