"EntityId","Chart Label","Technology","Technology Subtype","Year","Official Program Number","Calculated LCOE","","Overnight Capital Cost dollar per kW including Contingency","Contingency Factor","Overnight Capital Cost dollar per kW","Final Capital Cost, $/kW","Discount Rate","Lifetime Years","Final Lifetime in Years","Capital Recovery Factor","Tax Rate","Present Value of Depreciation","Average Capacity Factor","Max Capacity Factor","Final Capacity Factor","LCOE Capital Cost Term","O M All-Inclusive","Fixed O M dollar per kW","Variable O M dollar per MWh","Calculated OM All Inclusive Cost Term ($/kW)","Calculated Fixed OM Term ($/kW)","Calculated Variable OM Term ($/kW)","LCOE OM Term","Fuel","Fuel Cost","Heat Rate","LCOD Fuel Cost Term","","Reference Name","Publication Year","Report Author(s)","Dataset name","Dataset web source"
"EntityId","TechIndex","Technology","TechnologySubtype","Year","IsOfficial","lcoe","Blank","OnghCptCstDlKwInclCtng","ContingencyFactor","OnghtCptlCostDolPerKw","FinalCptlCostDolPerKw","DiscountRate","LifetimeYears","FinalLifetimeYears","CapitalRecoveryFactor","TaxRate","PvOfDepreciation","AvgCapacityFactor","MaxCapacityFactor","FinalCapacityFactor","TermCapitalCost","OMAllInclusive","FixedOMDolPerKw","VariableOMDolPerMwh","OfficialOMAllInclusive","OfficialFixedOMDolPerKw","OfficialVariableOMDolPerMwh","TermOMCost","Fuel","FuelCost","HeatRate","TermFuelCost","Blank","ShortName","PublicationYear","Author","Title","PublicationUrl"
"Unique identifier for this data record.","Displayed label for the technology and sub-technology.","General type of technology used to generate electricity.","Technology Subtype.","Year.","Official Program Number.","Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.","","Overnight Capital Cost dollar per kW including Contingency.","Contingency Factor.","Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.","Lifetime Years.","Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).","(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.","Tax rate paid (applied after depreciation credits).","The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).","The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.","Max Capacity Factor.","Final Capacity Factor.","Capital Cost term calculated in the LCOE equation","O M All-Inclusive.","Maintenance costs for generation paid regardless of the total amount generated.","Maintenance costs for generation paid per unit of energy produced.","Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).","Term calculated using the Fixed OM ($/kW).","Term calculated using the Variable OM ($/kW).","Calculated term for all costs associated with OM (Operations and Maintenance).","Fuel.","Fuel Cost.","Heat Rate.","","","Reference Name.","Publication Year.","Report Author.","Dataset name.","Dataset web source."
"g42672","Onshore","Land-Based Wind","","1983","",0.151,"","","","5048.49963485319","5048.49963485319",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.13549198154902,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42673","Onshore","Land-Based Wind","","1985","",0.102,"","","","3227.71797109737","3227.71797109737",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.086625717622358,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42674","Onshore","Land-Based Wind","","1986","",0.104,"","","","3308.32400089713","3308.32400089713",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.088789027811978,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42675","Onshore","Land-Based Wind","","1987","",0.07,"","","","2029.85815721141","2029.85815721141",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.054477473284401,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42676","Onshore","Land-Based Wind","","1989","",0.085,"","","","2597.99024493532","2597.99024493532",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.069725041456114,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42677","Onshore","Land-Based Wind","","1990","",0.094,"","","","2939.41283396816","2939.41283396816",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.078888164458896,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42678","Onshore","Land-Based Wind","","1994","",0.064,"","","","1818.51796664279","1818.51796664279",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.048805510667348,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
"g42679","Onshore","Land-Based Wind","","1995","",0.066,"","","","1873.749262422","1873.749262422",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.050287811994456,"","","","","51","0",0.015320836337419,"Wind",0,"",0,"","Wisner et al. 2014","2014","Wiser, Bollinger et al.","2013 Wind Technologies Market Report","http://emp.lbl.gov/sites/all/files/lbnl-6809e.pdf"
