"EntityId","Chart Label","Technology","Technology Subtype","Year","Official Program Number","Calculated LCOE","","Overnight Capital Cost dollar per kW including Contingency","Contingency Factor","Overnight Capital Cost dollar per kW","Final Capital Cost, $/kW","Discount Rate","Lifetime Years","Final Lifetime in Years","Capital Recovery Factor","Tax Rate","Present Value of Depreciation","Average Capacity Factor","Max Capacity Factor","Final Capacity Factor","LCOE Capital Cost Term","O M All-Inclusive","Fixed O M dollar per kW","Variable O M dollar per MWh","Calculated OM All Inclusive Cost Term ($/kW)","Calculated Fixed OM Term ($/kW)","Calculated Variable OM Term ($/kW)","LCOE OM Term","Fuel","Fuel Cost","Heat Rate","LCOD Fuel Cost Term","","Reference Name","Publication Year","Report Author(s)","Dataset name","Dataset web source"
"EntityId","TechIndex","Technology","TechnologySubtype","Year","IsOfficial","lcoe","Blank","OnghCptCstDlKwInclCtng","ContingencyFactor","OnghtCptlCostDolPerKw","FinalCptlCostDolPerKw","DiscountRate","LifetimeYears","FinalLifetimeYears","CapitalRecoveryFactor","TaxRate","PvOfDepreciation","AvgCapacityFactor","MaxCapacityFactor","FinalCapacityFactor","TermCapitalCost","OMAllInclusive","FixedOMDolPerKw","VariableOMDolPerMwh","OfficialOMAllInclusive","OfficialFixedOMDolPerKw","OfficialVariableOMDolPerMwh","TermOMCost","Fuel","FuelCost","HeatRate","TermFuelCost","Blank","ShortName","PublicationYear","Author","Title","PublicationUrl"
"Unique identifier for this data record.","Displayed label for the technology and sub-technology.","General type of technology used to generate electricity.","Technology Subtype.","Year.","Official Program Number.","Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.","","Overnight Capital Cost dollar per kW including Contingency.","Contingency Factor.","Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.","Lifetime Years.","Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).","(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.","Tax rate paid (applied after depreciation credits).","The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).","The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.","Max Capacity Factor.","Final Capacity Factor.","Capital Cost term calculated in the LCOE equation","O M All-Inclusive.","Maintenance costs for generation paid regardless of the total amount generated.","Maintenance costs for generation paid per unit of energy produced.","Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).","Term calculated using the Fixed OM ($/kW).","Term calculated using the Variable OM ($/kW).","Calculated term for all costs associated with OM (Operations and Maintenance).","Fuel.","Fuel Cost.","Heat Rate.","","","Reference Name.","Publication Year.","Report Author.","Dataset name.","Dataset web source."
"g39729","Photovoltaic","Photovoltaic","Residential","1998","",0.797,"","","","12015","12015",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.158,0.77553526351539,"","30","0","","18","0",0.021675047685105,"Solar",0,"",0,"","LBNL 2014","2014","Galen Barbose, Samantha Weaver, Naim Darghouth","Tracking the Sun VII","http://emp.lbl.gov/publications/tracking-sun-vii-historical-summary-installed-price-photovoltaics-united-states-1998-20"
"g39732","Photovoltaic","Photovoltaic","Residential","1999","",0.806,"","","","12151","12151",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.158,0.78431369013529,"","30","0","","18","0",0.021675047685105,"Solar",0,"",0,"","LBNL 2014","2014","Galen Barbose, Samantha Weaver, Naim Darghouth","Tracking the Sun VII","http://emp.lbl.gov/publications/tracking-sun-vii-historical-summary-installed-price-photovoltaics-united-states-1998-20"
"g29636","Photovoltaic","Photovoltaic","","2000","",0.281,"","","1","5000",5000,0.07,"30",30,0.080586403511111,0.392,0.83155,"0.21","","0.21",0.24282062428994,"","70","0","","18","0",0.038051750380518,"Solar",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g39735","Photovoltaic","Photovoltaic","Residential","2000","",0.751,"","","","11302","11302",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.158,0.72951307101548,"","30","0","","18","0",0.021675047685105,"Solar",0,"",0,"","LBNL 2014","2014","Galen Barbose, Samantha Weaver, Naim Darghouth","Tracking the Sun VII","http://emp.lbl.gov/publications/tracking-sun-vii-historical-summary-installed-price-photovoltaics-united-states-1998-20"
"g29637","Photovoltaic","Photovoltaic","","2001","",0.281,"","","1","5000",5000,0.07,"30",30,0.080586403511111,0.392,0.83155,"0.21","","0.21",0.24282062428994,"","70","0","","18","0",0.038051750380518,"Solar",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g39766","Photovoltaic","Photovoltaic","","2001","",0.709,"","","","10644","10644",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.158,0.68704097751626,"","30","0","","18","0",0.021675047685105,"Solar",0,"",0,"","LBNL 2014","2014","Galen Barbose, Samantha Weaver, Naim Darghouth","Tracking the Sun VII","http://emp.lbl.gov/publications/tracking-sun-vii-historical-summary-installed-price-photovoltaics-united-states-1998-20"
"g39738","Photovoltaic","Photovoltaic","Residential","2001","",0.73,"","","","10967","10967",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.158,0.70788974073852,"","30","0","","18","0",0.021675047685105,"Solar",0,"",0,"","LBNL 2014","2014","Galen Barbose, Samantha Weaver, Naim Darghouth","Tracking the Sun VII","http://emp.lbl.gov/publications/tracking-sun-vii-historical-summary-installed-price-photovoltaics-united-states-1998-20"
"g29638","Photovoltaic","Photovoltaic","","2002","",0.281,"","","1","5000",5000,0.07,"30",30,0.080586403511111,0.392,0.83155,"0.21","","0.21",0.24282062428994,"","70","0","","18","0",0.038051750380518,"Solar",0,"",0,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
