Q, E
78.098 , -1075.4312
71.139 , -1078.7602
64.197 , -1080.0822
60.733000000000004 , -1080.3272000000002
57.276 , -1080.3972
53.826 , -1080.3462000000002
50.386 , -1080.2072
43.541000000000004 , -1079.7822
36.768 , -1079.2672000000002
30.113000000000003 , -1078.6992
